,set01,set02,set03,set04,set05,set06,row
1108080000,1.13496,1.13166,1.11528,1.0833,1.07494,1.08496,2/11/05 0:00
1108339200,1.13779,1.13265,1.11586,1.08362,1.07531,1.08528,2/14/05 0:00
1108425600,1.14089,1.13482,1.11719,1.08328,1.07509,1.08467,2/15/05 0:00
1108512000,1.14529,1.138,1.1189,1.0844,1.07623,1.08595,2/16/05 0:00
1108598400,1.15125,1.14021,1.11986,1.08426,1.07589,1.08622,2/17/05 0:00
1108684800,1.14911,1.13876,1.1194,1.08397,1.07588,1.08564,2/18/05 0:00
1108944000,1.15076,1.14026,1.11943,1.08322,1.07517,1.08446,2/21/05 0:00
1109030400,1.14941,1.13818,1.11882,1.083,1.07529,1.08477,2/22/05 0:00
1109116800,1.14999,1.13918,1.11943,1.08329,1.07524,1.08485,2/23/05 0:00
1109203200,1.1532,1.14205,1.12053,1.08359,1.07554,1.08521,2/24/05 0:00
1109289600,1.1627,1.14568,1.12104,1.08367,1.07569,1.0852,2/25/05 0:00
1109548800,1.16087,1.14603,1.12249,1.08428,1.07722,1.08589,2/28/05 0:00
1109635200,1.15859,1.1484,1.12377,1.08378,1.07612,1.08552,3/1/05 0:00
1109721600,1.15653,1.14797,1.1215,1.08432,1.07639,1.08607,3/2/05 0:00
1110153600,1.16203,1.1503,1.12005,1.08416,1.07641,1.0858,3/7/05 0:00
1110240000,1.16002,1.14823,1.11847,1.08561,1.07806,1.0872,3/8/05 0:00
1110326400,1.16209,1.15127,1.12013,1.08662,1.07875,1.08858,3/9/05 0:00
1110412800,1.16199,1.1514,1.12235,1.08603,1.0783,1.08787,3/10/05 0:00
1110499200,1.16094,1.15204,1.12302,1.08615,1.07806,1.08789,3/11/05 0:00
1110585600,1.16124,1.1521,1.12345,1.08654,1.07859,1.0883,3/12/05 0:00
1110758400,1.15951,1.15209,1.1243,1.08649,1.07874,1.08857,3/14/05 0:00
1110844800,1.16028,1.15096,1.12347,1.0862,1.07853,1.0884,3/15/05 0:00
1110931200,1.15987,1.15204,1.12335,1.08663,1.07874,1.08894,3/16/05 0:00
1111017600,1.15805,1.15208,1.12365,1.08694,1.07923,1.08945,3/17/05 0:00
1111104000,1.15977,1.15342,1.12391,1.08763,1.07969,1.08952,3/18/05 0:00
1111363200,1.15792,1.15266,1.1236,1.08712,1.07903,1.08915,3/21/05 0:00
1111449600,1.15871,1.15121,1.12222,1.08739,1.07891,1.0892,3/22/05 0:00
1111536000,1.15468,1.14969,1.12251,1.08745,1.07835,1.08927,3/23/05 0:00
1111622400,1.15504,1.14939,1.1221,1.0869,1.07857,1.08885,3/24/05 0:00
1111708800,1.16104,1.15069,1.12235,1.08723,1.07871,1.08908,3/25/05 0:00
1111968000,1.16057,1.15154,1.12299,1.08745,1.07927,1.08974,3/28/05 0:00
1112054400,1.1602,1.1522,1.12293,1.08778,1.07981,1.08989,3/29/05 0:00
1112140800,1.15909,1.15165,1.12295,1.08776,1.07968,1.08989,3/30/05 0:00
1112227200,1.16233,1.1535,1.12491,1.08878,1.08003,1.09061,3/31/05 0:00
1112313600,1.15868,1.15215,1.12287,1.08913,1.08036,1.09113,4/1/05 0:00
1112572800,1.15878,1.15192,1.12332,1.0897,1.08083,1.09159,4/4/05 0:00
1112659200,1.15902,1.15271,1.12417,1.09017,1.08126,1.09223,4/5/05 0:00
1112745600,1.15732,1.15343,1.12412,1.09016,1.0815,1.09218,4/6/05 0:00
1112832000,1.15751,1.15306,1.12415,1.09005,1.08171,1.09216,4/7/05 0:00
1112918400,1.1561,1.1528,1.12396,1.09074,1.08235,1.09288,4/8/05 0:00
1113177600,1.15652,1.15415,1.12494,1.09068,1.08218,1.09261,4/11/05 0:00
1113264000,1.15631,1.15378,1.12542,1.09258,1.08398,1.09501,4/12/05 0:00
1113350400,1.15451,1.15322,1.125,1.09175,1.08269,1.09419,4/13/05 0:00
1113436800,1.15398,1.15291,1.12528,1.0925,1.08341,1.09502,4/14/05 0:00
1113523200,1.15402,1.15316,1.12539,1.09253,1.08356,1.09499,4/15/05 0:00
1113782400,1.15439,1.15346,1.12553,1.09223,1.08337,1.0946,4/18/05 0:00
1113868800,1.15409,1.15179,1.13277,1.09269,1.08386,1.09514,4/19/05 0:00
1113955200,1.15417,1.15371,1.13357,1.09325,1.08444,1.09611,4/20/05 0:00
1114041600,1.15136,1.15346,1.1327,1.09301,1.08381,1.09561,4/21/05 0:00
1114128000,1.15243,1.15461,1.13382,1.09318,1.08354,1.09542,4/22/05 0:00
1114387200,1.15264,1.15399,1.13295,1.09369,1.08444,1.09638,4/25/05 0:00
1114473600,1.15107,1.15412,1.13325,1.09433,1.08486,1.09703,4/26/05 0:00
1114560000,1.15088,1.15465,1.13047,1.09504,1.08528,1.09777,4/27/05 0:00
1114646400,1.14735,1.1541,1.13084,1.09516,1.08535,1.09779,4/28/05 0:00
1114732800,1.16297,1.16012,1.13363,1.09598,1.08614,1.09865,4/29/05 0:00
1115078400,1.1516,1.15479,1.1293,1.0964,1.0869,1.09936,5/3/05 0:00
1115164800,1.15134,1.15552,1.12989,1.09658,1.08666,1.09892,5/4/05 0:00
1115251200,1.15081,1.15722,1.13156,1.09671,1.08674,1.09897,5/5/05 0:00
1115596800,1.15097,1.15826,1.13202,1.09757,1.0878,1.1001,5/9/05 0:00
1115683200,1.15125,1.15873,1.13327,1.09821,1.08839,1.10102,5/10/05 0:00
1115769600,1.1518,1.15838,1.13277,1.09945,1.08992,1.10267,5/11/05 0:00
1115856000,1.15282,1.16101,1.13423,1.09993,1.09077,1.10352,5/12/05 0:00
1115942400,1.15578,1.16424,1.1363,1.10079,1.09156,1.10443,5/13/05 0:00
1116201600,1.156,1.16664,1.13811,1.10167,1.09271,1.10596,5/16/05 0:00
1116288000,1.15575,1.16643,1.13758,1.10181,1.09269,1.10603,5/17/05 0:00
1116374400,1.15504,1.16539,1.13713,1.10239,1.09316,1.10657,5/18/05 0:00
1116460800,1.15375,1.16457,1.13113,1.10285,1.09337,1.10674,5/19/05 0:00
1116547200,1.15436,1.16368,1.13507,1.10345,1.09417,1.10742,5/20/05 0:00
1116979200,1.15519,1.16281,1.13548,1.10382,1.09426,1.10788,5/25/05 0:00
1117065600,1.15535,1.16437,1.13668,1.10519,1.09541,1.10944,5/26/05 0:00
1117152000,1.15412,1.16348,1.13569,1.10525,1.0955,1.10976,5/27/05 0:00
1117238400,1.15282,1.16296,1.13555,1.1055,1.09573,1.10992,5/28/05 0:00
1117411200,1.15283,1.16289,1.13028,1.10584,1.09611,1.11034,5/30/05 0:00
1117497600,1.15839,1.16225,1.13386,1.10608,1.09629,1.11072,5/31/05 0:00
1117584000,1.15066,1.16204,1.13456,1.10698,1.09688,1.11218,6/1/05 0:00
1117670400,1.1493,1.16165,1.14227,1.10796,1.09802,1.1138,6/2/05 0:00
1117756800,1.14915,1.16119,1.13539,1.10851,1.0988,1.11439,6/3/05 0:00
1118016000,1.14856,1.15841,1.13762,1.10919,1.09966,1.11522,6/6/05 0:00
1118102400,1.14906,1.15892,1.13804,1.10925,1.0998,1.11526,6/7/05 0:00
1118188800,1.14875,1.1563,1.13415,1.11062,1.10115,1.11679,6/8/05 0:00
1118275200,1.14939,1.1568,1.13489,1.11124,1.10187,1.11728,6/9/05 0:00
1118361600,1.15042,1.1572,1.13528,1.11193,1.10227,1.11816,6/10/05 0:00
1118620800,1.14904,1.15885,1.1378,1.11257,1.10337,1.11929,6/13/05 0:00
1118707200,1.1493,1.15925,1.1384,1.11254,1.10283,1.11969,6/14/05 0:00
1118793600,1.14906,1.1598,1.13884,1.11238,1.10284,1.11912,6/15/05 0:00
1118880000,1.14787,1.15822,1.13861,1.11213,1.10267,1.11895,6/16/05 0:00
1118966400,1.14755,1.15714,1.13791,1.11057,1.10037,1.11684,6/17/05 0:00
1119225600,1.14843,1.15887,1.13909,1.11104,1.10105,1.11714,6/20/05 0:00
1119312000,1.14828,1.1587,1.13904,1.11109,1.10056,1.11688,6/21/05 0:00
1119398400,1.14448,1.14807,1.12776,1.11307,1.10265,1.1193,6/22/05 0:00
1119484800,1.14299,1.15548,1.13854,1.11441,1.10423,1.12144,6/23/05 0:00
1119571200,1.14502,1.15633,1.13971,1.11493,1.10484,1.12198,6/24/05 0:00
1119830400,1.1446,1.15667,1.13973,1.11543,1.10543,1.12265,6/27/05 0:00
1119916800,1.14892,1.15859,1.14047,1.11609,1.10584,1.12286,6/28/05 0:00
1120003200,1.14949,1.15901,1.14125,1.11649,1.10634,1.12354,6/29/05 0:00
1120089600,1.15824,1.16521,1.14385,1.11697,1.10718,1.12408,6/30/05 0:00
1120176000,1.15118,1.16032,1.14215,1.11684,1.10692,1.12367,7/1/05 0:00
